Country,Max Population,Mean Population,Median Population,Min Population,Region,Std Dev Population,Total Population,Year,Max GPP,Mean GPP,Median GPP,Min GPP,Std Dev GPP,Total GPP,Max LST (K),Mean LST (K),Median LST (K),Min LST (K),Std Dev LST,Total LST,Max NTL,Mean NTL,Median NTL,Min NTL,Std Dev NTL,Total NTL,Max NDVI,Mean NDVI,Median NDVI,Min NDVI,Std Dev NDVI,Total NDVI,MPI
Afghanistan,14.884516716003418,2.1022834815160376,0.8446340543388037,0.0032898029312491,Badakhshan,3.001384609548435,57588.70056681037,2017,65533.0,0.0001653241588998485,4461.514939530473,1143.0,17742.237536535227,7177114.996078431,285.71563636363646,279.2321179122413,279.9383185900465,267.8141224489794,4.038266389585397,28598.84401378041,4.97906336088154,0.4108463990802777,0.3590940937860516,0.237741046831956,0.3191996687468225,287.89376671552,0.4560425579547882,0.2309446785987873,0.2121124029159546,-0.0288067981600761,0.0822906909162349,161.8306344501236,0.3870416
Afghanistan,14.729743003845217,2.2063535682181024,0.7800742309904827,0.0039395047351717,Badakhshan,3.1940060553140146,60439.53448799269,2018,65533.0,0.00016530835677465932,4464.264993481094,1083.0,17744.282416493865,7176428.988235295,285.8357547169811,279.73844992451194,280.3010027528724,268.2026771653544,3.8688661017257058,28650.7023399156,6.871428571428591,0.3414184201523237,0.2944675191284799,0.1914835164835166,0.3140103919307623,239.2432676147384,0.5106191635131836,0.2528089950685514,0.2403072826612504,-0.0253511797636747,0.0874414175774529,177.1516898110363,0.333678395
Afghanistan,16.152055740356445,2.3426610250876845,0.8115703831351457,0.0040858923457562,Badakhshan,3.4301141061800138,64173.45971154295,2019,65533.0,0.00016725857833308248,4462.230075690116,1113.0,17710.49298922958,7261092.745098039,285.38567567567566,279.92881426723244,280.3706422018348,268.90381355932215,4.07867594224514,28670.199381244347,7.389531680440773,0.3359301514054594,0.264416406641398,0.1925619834710742,0.3738434715823265,235.397454761519,0.4689057469367981,0.2471161584372188,0.2327632181987678,-0.0347541905939579,0.0820592521345506,173.1625294222405,0.326448828
Afghanistan,16.41594696044922,2.4831058316817005,0.8114423100218752,0.0034756371751427,Badakhshan,3.6645592974183416,68020.72102725941,2020,65533.0,0.00016696286083541328,4463.614881693648,1021.0,17731.323479826333,7248254.945098039,284.5711415525114,278.3418951053856,278.9387021332976,267.72016460905354,3.958776016745855,28507.667743009235,4.431232876712322,0.2559336824604377,0.2015934520505413,0.1120547945205483,0.2741223099371633,179.34126242277748,0.4891842305660248,0.2525958396188066,0.2361832423190193,-0.0323201268911361,0.0888994343512776,177.00232468221844,0.326448828
Afghanistan,16.925642,2.579783,0.830886,0.00363,Badakhshan,3.8206,70669.04753,2021,65533.0,0.00016377312139737198,4246.199171177267,1179.0,17775.82292246561,7109780.768627452,284.7058196721312,278.7905947702855,279.2781321022726,267.5159999999998,4.256991987791968,28553.623386727628,3.715193370165745,0.3141150934408071,0.2426081020110744,0.147790055248619,0.2676297095849901,220.1109164770883,0.4746220111846924,0.2469283052121667,0.2323857430837871,-0.0295415036380291,0.0859144579897705,173.03089440567234,0.326448817
Afghanistan,17.435337,2.676461,0.850329,0.003785,Badakhshan,3.976641,73317.374033,2022,65533.0,0.00016583787223023328,4473.7670435464015,1249.0,17739.271961392267,7199416.513725489,285.4951886792454,279.3102875285816,280.1934658820144,268.9249773755657,3.949133835668986,28606.85011523123,4.937861271676296,0.4429524989461503,0.3276916273893321,0.2023121387283242,0.3878967144545474,310.3915810948658,0.4813906252384186,0.2478362033855602,0.232461464760749,-0.0282789599150419,0.0860936613112784,173.6670889190416,0.326448812
Afghanistan,17.945032,2.773138,0.869772,0.00394,Badakhshan,4.132683,75965.700536,2023,65533.0,0.00016289293312384082,4206.818602045105,1038.0,17791.196705558687,7071569.701960784,286.1664317180617,279.33532541132706,280.0329676511955,268.9746360153256,3.977317632210808,28609.41448536325,9.04166666666668,0.5515694808986291,0.4036078057347021,0.2822222222222222,0.5379195676170645,386.5031209150328,0.4815548062324524,0.2506389367510966,0.2401923297771385,-0.0281339064240455,0.0817045519730944,175.63105761271845,0.326448812
Afghanistan,13.694464683532717,2.4832492475359893,1.221300491066866,0.0391404703259468,Badghis,3.0547752223401123,23488.275573855462,2017,65530.0,6.17118708683145e-05,2945.8,1631.0,9982.757437659591,1271994.9098039216,285.1794346289753,283.0654616817605,283.14751821364354,278.4780471380472,1.187085157613235,13021.011237360985,3.79531680440772,0.4302704039691847,0.3186897382920111,0.2760330578512399,0.4565328494783187,115.08805271971052,0.3678647875785827,0.2117394967552769,0.1941212210804224,0.1148990839719772,0.0649896653561215,56.63574845171442,0.4656868
Afghanistan,13.16787815093994,2.649673017650044,1.277711527257026,0.0371856577694416,Badghis,3.2005395267359105,25062.425803985447,2018,65530.0,5.67932124529169e-05,2410.235294117647,1166.0,10060.929932813133,1170612.3333333333,285.6467910447762,283.08705242983865,283.317293712317,278.9127017543859,1.2220928215328877,13022.004411772576,4.2898351648351625,0.3924503777044572,0.2622675401521555,0.2065934065934067,0.5627064773832865,104.9720114199526,0.4132401645183563,0.1992483736287209,0.1707212875286738,0.0962724313139915,0.0809188206443186,53.29464243174184,0.428395838
Afghanistan,14.209238052368164,2.9248722221544354,1.402471699576447,0.0387464165687561,Badghis,3.4792099858360674,27665.44874238715,2019,65530.0,7.475866930839787e-05,3951.944444444444,1919.0,9852.075779364408,1540913.368627451,285.9825,283.7999595499138,283.8544499935972,279.52352112676056,1.1565738938014358,13054.798139296036,5.361983471074381,0.4692134755402056,0.2620335587277737,0.2005509641873276,0.7590450271851878,125.50448441635608,0.4755561351776123,0.2622888927379267,0.245084618528684,0.1315685957670211,0.0782502429044141,70.15662159598341,0.426306456
