Country,Region,adm1_code
Cambodia,Kampong Thom,796
Cambodia,Kampot,797
Cambodia,Kandal,798
Cambodia,Kep,800
Cambodia,Koh Kong,799
Cambodia,Kratie,801
Cambodia,Mondul Kiri,803
Cambodia,Otdar Meanchey,804
Cambodia,Pailin,805
Cambodia,Phnom Penh,806
Cambodia,Preah Sihanouk,802
Cambodia,Preah Vihear,807
Cambodia,Prey Veng,808
Cambodia,Pursat,809
Cambodia,Ratanak Kiri,810
Cambodia,Siem Reap,811
Cambodia,Stung Treng,812
Cambodia,Svay Rieng,813
Cambodia,Takeo,814
Cameroon,Adamaoua,815
Cameroon,Centre,816
Cameroon,Est,817
Cameroon,Extrême - Nord,818
Cameroon,Littoral,819
Cameroon,Nord,820
Cameroon,Nord - Ouest,821
Cameroon,Ouest,822
Cameroon,Sud,823
Cameroon,Sud - Ouest,824
Central African Republic,Bamingui-Bangoran,853
Central African Republic,Bangui,67154
Central African Republic,Basse-Kotto,854
Central African Republic,Haut-Mbomou,855
Central African Republic,Haute-Kotto,856
Central African Republic,Kémo,857
Central African Republic,Lobaye,858
Central African Republic,Mambéré-Kadéï,859
Central African Republic,Mbomou,860
Central African Republic,Nana-Gribizi,861
Central African Republic,Nana-Mambéré,862
Central African Republic,Ombella M'Poko,863
Central African Republic,Ouaka,864
Central African Republic,Ouham,865
Central African Republic,Ouham Pendé,866
Central African Republic,Sangha-Mbaéré,867
Central African Republic,Vakaga,868
Chad,Assongha,12926
Chad,Baguirmi,12910
Chad,Barh Koh,12923
Chad,Barl El Gazal,12914
Chad,Batha Est,12904
Chad,Batha Ouest,12905
Chad,Biltine,870
Chad,Borkou,12907
Chad,Daraba,12911
Chad,Ennedi,12908
Chad,Guera,873
Chad,Hadjer Lamis,12912
Chad,Kabia,12920
Chad,Kanem,12915
Chad,Lac,875
Chad,Lac Iro,12924
Chad,Logone Occidental,876
Chad,Logone Oriental,12918
Chad,Mandoul,12925
Chad,Mayo-Boneye,12921
Chad,Mayo-Dala,12922
Chad,Mont De Lam,12919
Chad,Ouaddai,12927
Chad,Salamat,881
Chad,Sila,12928
Chad,Tandjile Est,12930
Chad,Tandjile Ouest,12931
Chad,Tibesti,12909
Congo,Bouenza,970
Congo,Brazzaville,190432
Congo,Cuvette,971
Congo,Cuvette-Ouest,972
Congo,Kouilou,190433
Congo,Lekoumou,974
Congo,Likouala,975
Congo,Niari,976
Congo,Plateaux,977
Congo,Point-Noire,190434
Congo,Pool,190431
Congo,Sangha,979
Costa Rica,Alajuela,981
Costa Rica,Cartago,982
Costa Rica,Guanacaste,983
Costa Rica,Heredia,984
Costa Rica,Limon,985
Costa Rica,Puntarenas,986
Costa Rica,San Jose,987
Cuba,Camaguey,1009
Cuba,Ciego De Avila,1010
Cuba,Cienfuegos,1011
Cuba,Ciudad De La Habana,1012
Cuba,Granma,1013
Cuba,Guantanamo,1014
Cuba,Holguin,1015
Cuba,Isla De La Juventud,1016
Cuba,La Habana,1017
Cuba,Las Tunas,1018
Cuba,Matanzas,1019
Cuba,Pinar Del Rio,1020
Cuba,Sancti Spiritus,1021
Cuba,Santiago De Cuba,1022
Cuba,Villa Clara,1023
Djibouti,Ali Sabieh,1093
Djibouti,Dikhil,1094
Djibouti,Djibouti,1095
Djibouti,Obock,1096
Djibouti,Tadjourah,1097
Dominican Republic,Azua,1108
Dominican Republic,Baoruco,1109
Dominican Republic,Barahona,1110
Dominican Republic,Dajabon,1111
Dominican Republic,Distrito Nacional,36858
Dominican Republic,Duarte,1113
Dominican Republic,El Seibo,1114
Dominican Republic,Elias Pina,1118
Dominican Republic,Espaillat,1115
Dominican Republic,Hato Mayor,36854
Dominican Republic,Independencia,1116
Dominican Republic,La Altagracia,1117
