system:index,ADM1_CODE,ADM2_CODE,ADM2_NAME,Country,Median_Pop,StdDev_Pop,Total_Pop,Year,.geo
1_1_2_00000000000000002073,1706,65735,Tafiela,Jordan,0.42883225324171226,2.2465816177428772,30727.75128018731,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000002074,1712,65736,Al-Hashimiya,Jordan,0.01398791722278781,0.39408230092484653,4255.694111915907,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000002075,1711,65731,Sabha,Jordan,0.3420306553205958,1.0284586419633037,19441.505914351197,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000002076,1712,65738,Zarqa,Jordan,2.2301080433911893,12.705305154398832,462604.3070040288,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000002077,1711,65730,Mafraq,Jordan,0.8103963837806983,3.0934370727909317,127814.85591389242,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000002078,1711,65732,Sama Al-Serhan,Jordan,0.7819030516632406,1.6276638968346806,30350.125957894546,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000002079,1707,65739,Al-Wasatiya,Jordan,3.813097672099426,3.5330726809217516,23578.86881049123,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_0000000000000000207a,1701,65715,Kufranjeh,Jordan,2.682325080626355,2.631689316274028,24380.317719031787,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_0000000000000000207b,1702,65720,Al-Ardha,Jordan,1.0316250009511205,0.9970535474510944,6252.773985738908,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_0000000000000000207c,1702,65721,Zay,Jordan,6.814523502623055,3.190758144335088,23553.882316586092,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_0000000000000000207d,1702,65719,Mahes & Fhais,Jordan,0.8270155820213235,0.8582662428475294,8708.775494254913,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_0000000000000000207e,1702,65723,Ira & Yarqa,Jordan,1.911052741443287,1.6055848046041157,14073.743834908562,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_0000000000000000207f,1712,65737,Al-Dhilail,Jordan,0.558661824933727,0.9638596966619489,11445.155225914197,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000002080,1704,65726,Faqooa',Jordan,1.1087963029902468,1.1980655123146242,8104.2465948579975,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000002081,1704,36739,Ayy,Jordan,1.7743964900291012,1.9642944370145574,6731.507614460178,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000002082,1704,65727,Karak,Jordan,1.3131647270118272,3.0581716393020457,55570.8724228514,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000002083,1706,65733,Al-Hasa,Jordan,0.11288073786560905,0.3027113084272819,2598.341181142431,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000002084,1706,65734,Bsaira,Jordan,1.158303120606382,2.326347034579529,12716.798963351575,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000002085,1703,65717,Aqaba,Jordan,1.056614272771811,3.720025168122336,64046.18689687888,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000002086,1709,65743,Ail,Jordan,0.21480530892942515,0.24380815447506646,2467.2644297361558,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000002087,1709,65741,Al-Mraigha,Jordan,0.3793522730469704,0.35276128904761217,3166.722168861359,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000002088,1709,65742,Al-Jafer,Jordan,0.24217574257008065,0.4991572388661455,2966.3047964138723,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000000cd3,2107,21792,Errachidia,Morocco,0.7326799122285165,5.69724651050453,284395.5798851128,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000000cd4,2107,21793,Ifrane,Morocco,0.7414365608637186,9.12817978507238,82778.2871003587,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000000cd5,2107,21794,Khénifra,Morocco,0.14766756126075464,12.543048874513458,277699.15157120256,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000000cd8,2109,21818,Figuig,Morocco,0.20029756562816872,7.875121124788212,49839.575313699104,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000000cd9,2109,21819,Nador,Morocco,0.4256607362207167,7.387846709873261,528882.467614157,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000000cdd,147326,21805,Khouribga,Morocco,0.24481689283516972,8.928010526443,412882.8749632675,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000000cde,147326,21806,Settat,Morocco,0.3879625089493993,4.907597213012003,782580.1910057032,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000000ce0,147327,21804,El Jadida,Morocco,0.7147503269181444,5.642876080719827,848510.0098098835,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000000ce1,147327,21832,Safi,Morocco,0.4312864443651011,7.075952176995094,633892.1727585916,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000000ce2,147328,21788,Boulemane,Morocco,0.6186206125155129,4.293169601873777,74484.96672534416,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000000ce6,147329,21809,Kénitra,Morocco,1.425569334973348,12.036185644290034,893115.9788754239,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000000ce7,147329,21814,Sidi Kacem,Morocco,1.3967517951086987,8.119957143553403,370988.7705471305,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000000cea,147331,21825,Tan-Tan,Morocco,0.1356710154137654,8.850702080967931,12219.741957017435,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
