Country,ADM1_CODE,ADM2_CODE,ADM2_NAME,Year,Median_Pop,StdDev_Pop,Total_Pop,Mean_GPP,StdDev_GPP,Mean_LST,StdDev_LST,Mean_NTL,StdDev_NTL,Sum_NTL,Median_NDVI,StdDev_NDVI
Bosnia and Herzegovina,652,6241,Gornjedrinski,2015,0.1558758400629304,1.1837916943911586,19216.44082934627,0.0186999772439163,12482.68104676953,279.5982669961285,1.2752874343971583,1.0274606179957662,2.229729869557809,535.9959849784501,0.5437567283709844,0.039611814739848
Bosnia and Herzegovina,652,6241,Gornjedrinski,2016,0.1530003956605622,1.2108278201296503,18970.1175818534,0.0192689494117265,12340.404409157853,277.2376251650546,1.0779603862909712,1.0706252108041867,2.5347184750541505,558.5136834997558,0.5791634416941815,0.0357540363030059
Bosnia and Herzegovina,652,6241,Gornjedrinski,2017,0.1551555471364397,1.0580300646828953,18942.140460487262,0.0185333109682276,12513.184328191415,278.9490253958143,0.8390037863582056,1.144374921485811,2.5920609477148995,596.9867384532215,0.5439593493938446,0.0400332357887694
Bosnia and Herzegovina,652,6241,Gornjedrinski,2018,0.153399237725167,1.2434230473456869,18871.35005821077,0.020412770290689,12096.260169943032,278.7788726270931,1.1512758581749998,1.1383158891420062,2.8150864998378347,593.8259194862922,0.5498717466961689,0.0368045684419633
Bosnia and Herzegovina,652,6241,Gornjedrinski,2019,0.0938690187668893,1.2049610843559089,18844.925725732915,0.0191338983657413,12375.001574175609,279.2346221342503,1.0192920721132863,1.147482164454952,2.638546177180341,598.6076957207233,0.5733281970024109,0.0404424557471799
Bosnia and Herzegovina,652,6241,Gornjedrinski,2020,0.1559040157446615,1.053023620897801,18564.626065906526,0.0187477693630481,12463.16829532919,277.4835980510771,1.0514335758608275,1.0154475550135225,2.533276839608716,529.7291233459954,0.5831093147043017,0.0403635612932836
Bosnia and Herzegovina,652,6241,Gornjedrinski,2021,0.15607,1.04662,18512.17756,0.0176271708750929,12702.972920658642,278.8756421397364,0.927362984406384,1.0683658549025792,2.500362593327737,557.3350439775313,0.5340975963371604,0.0372523453935243
Bosnia and Herzegovina,652,6241,Gornjedrinski,2022,0.15623,1.04021,18459.72906,0.0187667247331869,12456.217850701314,277.4512880711875,0.7417258721512917,1.2754247549216318,2.9084556129513195,665.3515821498235,0.5579220482281276,0.037119068325953
Bosnia and Herzegovina,652,6241,Gornjedrinski,2023,0.1564,1.0338,18407.28056,0.0191628616428872,12377.646337923694,278.8311379763926,0.8993489445106049,1.2821776739428787,2.467812873868409,668.8743813879427,0.5461836343176627,0.0333550043143655
Bosnia and Herzegovina,652,6241,Gornjedrinski,2024,0.15656,1.02739,18354.83205,0.0193961765763047,12313.917995486108,280.9724491905925,0.932472544755448,1.1042225434892463,2.169794054137532,576.0404238047079,0.5611640063342852,0.0350275628356943
