Country,Max Population,Mean Population,Median Population,Min Population,Region,Std Dev Population,Total Population,Year
Afghanistan,12.338386535644531,1.0049912251990785,0.4056465658879132,0.0021784829441457,Badakhshan,1.5726565989135677,114277.18175003363,2012
Afghanistan,12.738572120666504,1.0705150825712506,0.4674156318424452,0.0026380924973636,Badakhshan,1.6913851931493824,121727.87541793082,2013
Afghanistan,14.90933895111084,1.1095110099450185,0.4672973651002276,0.0029379476327449,Badakhshan,1.8504423879211933,126162.08794463264,2014
Afghanistan,16.33983039855957,1.1398663336601882,0.4326095472378559,0.0031842736061662,Badakhshan,1.8470519424808645,129613.78061447896,2015
Afghanistan,13.15276336669922,1.1482489480829905,0.4671686915447947,0.003010950051248,Badakhshan,1.764565658733679,130566.964610434,2016
Afghanistan,14.884516716003418,1.2199570267923108,0.5308080347741782,0.0032603607978671,Badakhshan,1.9467811050523405,138720.86380690458,2017
Afghanistan,14.729743003845217,1.259372406060671,0.529326093728901,0.0032814503647387,Badakhshan,2.065108839055592,143202.77205391906,2018
Afghanistan,16.152055740356445,1.3360768766394842,0.5565038456767284,0.0039941468276083,Badakhshan,2.2253637893942826,151924.80912806242,2019
Afghanistan,16.41594696044922,1.397261089979869,0.5562163894119988,0.0028961158823221,Badakhshan,2.362367715501623,158882.043472817,2020
Afghanistan,16.925642,1.446295,0.575038,0.002986,Badakhshan,2.461082,164457.651188,2021
Afghanistan,17.435337,1.495329,0.593859,0.003076,Badakhshan,2.559795,170033.258904,2022
Afghanistan,17.945032,1.544362,0.61268,0.003165,Badakhshan,2.658509,175608.866619,2023
Afghanistan,12.81301498413086,1.1939722007304088,0.5293372614664225,0.0278909374028444,Badghis,1.5665322639303474,43231.62637868212,2012
Afghanistan,12.824220657348633,1.3373647706110752,0.5319607971755208,0.0344501845538616,Badghis,1.8606501093265648,48423.61828834949,2013
Afghanistan,13.746728897094728,1.3268321726984913,0.5319345867310274,0.0344985760748386,Badghis,1.84461715296058,48042.25150487232,2014
Afghanistan,11.328614234924316,1.3768376910321043,0.5882389013302682,0.033853180706501,Badghis,1.9216255676067668,49852.8630787001,2015
Afghanistan,12.383508682250977,1.315132469555559,0.5298438706495364,0.0346746370196342,Badghis,1.817302178658303,47618.6259006017,2016
Afghanistan,13.694464683532717,1.3922459256608386,0.5298448421276756,0.0391404703259468,Badghis,2.0029513417216216,50410.76806360427,2017
Afghanistan,13.16787815093994,1.4721419158231384,0.5917318852920106,0.0371856577694416,Badghis,2.1289982199534614,53303.66087445733,2018
Afghanistan,14.209238052368164,1.627320870740906,0.6530541774444012,0.0387464165687561,Badghis,2.3415038645388924,58922.41698681514,2019
Afghanistan,15.900650024414062,1.6704654651722433,0.6581834574733175,0.0397864431142807,Badghis,2.547569591966786,60484.60661365428,2020
Afghanistan,16.286604,1.730027,0.674289,0.041273,Badghis,2.670199,62641.229143,2021
Afghanistan,16.672559,1.789589,0.690395,0.04276,Badghis,2.792829,64797.851672,2022
Afghanistan,17.058513,1.84915,0.706501,0.044247,Badghis,2.915459,66954.474202,2023
Afghanistan,56.10892105102539,1.9206074532173385,1.1245622265899868,0.0542256534099578,Baghlan,3.93343786961882,200504.2327844769,2012
Afghanistan,53.52013397216797,2.0026306517642856,1.124914427357781,0.0524098053574562,Baghlan,3.860557884621029,209067.14784951776,2013
Afghanistan,59.53123092651367,2.0392474581839157,1.1239947256005176,0.050768457353115,Baghlan,4.097412188461105,212889.8054497925,2014
Afghanistan,57.2433967590332,2.0697820367475965,1.122315322400854,0.0473271310329437,Baghlan,4.176951505783354,216077.50121659396,2015
Afghanistan,50.64089584350586,2.0086987488114096,1.125915484873091,0.0621147230267524,Baghlan,3.633023027667282,209700.6344794156,2016
Afghanistan,51.71311950683594,2.0619190263146923,1.1239779669071697,0.0628242790699005,Baghlan,3.76514998950575,215256.6323443084,2017
Afghanistan,55.2884635925293,2.14271759975315,1.1276930343956262,0.0654062256217002,Baghlan,4.139764427490454,223691.70112956152,2018
Afghanistan,53.79077911376953,2.1778251343681028,1.1228855706745138,0.0659208372235298,Baghlan,4.136866214277708,227356.79639988017,2019
Afghanistan,56.44620895385742,2.252302425989724,1.1284805834683902,0.0659799203276634,Baghlan,4.32650017319119,235131.9470124864,2020
Afghanistan,56.48837,2.293764,1.12897,0.067449,Baghlan,4.375633,239460.411291,2021
Afghanistan,56.530531,2.335226,1.12946,0.068918,Baghlan,4.424766,243788.875569,2022
Afghanistan,56.572692,2.376688,1.12995,0.070388,Baghlan,4.473899,248117.339848,2023
Afghanistan,118.65300750732422,2.688909765281814,0.7477019200194087,0.0,Balkh,11.745255975759934,581723.5997481334,2012
Afghanistan,116.47576904296876,2.7459039199101047,0.7505348715089527,0.0,Balkh,11.77719955775336,594053.818196909,2013
