system:index,Country,Mean_Precip,Region,StdDev_Precip,Sum_Precip,Year,.geo
1_000000000000000000cd,United Republic of Tanzania,779.7271592146033,Iringa,194.03092842698817,10246.53219814955,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000ce,United Republic of Tanzania,1211.512933816293,Kagera,189.91682189514236,77812.38756879704,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000d1,United Republic of Tanzania,1033.7228745535017,Katavi,82.38454520935538,10337.228745535016,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000dd,United Republic of Tanzania,1051.3804333546927,Mwanza,86.35007565946212,63627.06999031223,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000de,United Republic of Tanzania,1058.9722143432716,Njombe,199.39278709552107,18903.692234080678,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000e0,United Republic of Tanzania,983.2183815073222,Rukwa,114.51021824972305,3932.8735260292888,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000e2,United Republic of Tanzania,896.7071988155773,Shinyanga,58.86066704879457,49874.50274824052,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000e3,United Republic of Tanzania,998.4035649221221,Simiyu,49.587253256456215,37982.403856115714,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000ca,United Republic of Tanzania,920.7312747666847,Dar-es-salaam,82.04608722076703,33503.78626886301,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000cb,United Republic of Tanzania,486.70237182174463,Dodoma,90.55711947421146,14566.71569311198,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000cf,United Republic of Tanzania,1676.5881972312927,Kaskazini Pemba,0.0,1268.947145355449,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000d0,United Republic of Tanzania,544.9414074420929,Kaskazini Unguja,0.0,250.03193988519556,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000d2,United Republic of Tanzania,1217.1419507039454,Kigoma,167.05743757669163,13087.85579933419,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000d3,United Republic of Tanzania,1006.0642688557728,Kilimanjaro,240.10895890172372,60162.64327757522,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000d4,United Republic of Tanzania,1676.5881972312927,Kusini Pemba,0.0,401.06619620042693,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000d5,United Republic of Tanzania,531.7296088279867,Kusini Unguja,17.970221363461196,2056.0211541348817,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000d6,United Republic of Tanzania,1050.367874443531,Lindi,48.614774048328144,2100.735748887062,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000d8,United Republic of Tanzania,1181.5546475124702,Mara,135.0512762230713,97925.39576677859,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000d9,United Republic of Tanzania,1215.8143451818864,Mbeya,266.5946675062032,69930.78039522638,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000da,United Republic of Tanzania,556.1776152663035,Mjini Magharibi,14.642095682926497,1592.1947417427511,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000db,United Republic of Tanzania,937.7698422887108,Morogoro,342.128849635857,10315.46826517582,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000dc,United Republic of Tanzania,,Mtwara,,0.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000df,United Republic of Tanzania,945.3911802116958,Pwani,82.67287713745787,23089.789295523304,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000e1,United Republic of Tanzania,1051.957549768818,Ruvuma,55.77637974366931,25977.163493702927,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000e4,United Republic of Tanzania,804.2288306459649,Singida,77.28483663803695,28204.778166536722,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000e5,United Republic of Tanzania,964.2385955994408,Tabora,95.4535753827806,53641.91653793595,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000e6,United Republic of Tanzania,864.2407536025231,Tanga,195.37314021381695,11235.1297968328,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000c9,United Republic of Tanzania,744.921771413875,Arusha,199.46477793760252,34774.7010467089,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000d7,United Republic of Tanzania,641.0778853113296,Manyara,88.51308984329155,28360.782839988668,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000cc,United Republic of Tanzania,947.7590808207885,Geita,96.45045573867286,22917.18624447444,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000cd,United Republic of Tanzania,1003.7791461741807,Iringa,128.73661875344325,13190.838897371292,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000ce,United Republic of Tanzania,1207.7573011496818,Kagera,266.19138450879973,77571.17285580191,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000d1,United Republic of Tanzania,966.6034319937229,Katavi,79.48839677172819,9666.03431993723,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000dd,United Republic of Tanzania,944.9442962019432,Mwanza,105.35673263143221,57185.8054077976,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000de,United Republic of Tanzania,1074.3480293217306,Njombe,149.26294717877673,19178.16560577458,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000e0,United Republic of Tanzania,837.8677995847538,Rukwa,93.32209750912092,3351.4711983390152,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000e2,United Republic of Tanzania,760.8229991805836,Shinyanga,54.003564336257746,42316.67685246359,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
