system:index,Country,Mean_PDSI,Region,StdDev_PDSI,Year,.geo
1_000000000000000000dd,United Republic of Tanzania,-0.023710363746327994,Mwanza,0.38204757699115516,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000de,United Republic of Tanzania,-2.8227546499707095,Njombe,0.18927297076929633,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000e0,United Republic of Tanzania,-2.745833333333333,Rukwa,0.20213358481734747,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000e2,United Republic of Tanzania,-0.8361452678088792,Shinyanga,0.4458133105471521,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000e3,United Republic of Tanzania,0.6279144761708415,Simiyu,0.4847435756153685,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000ca,United Republic of Tanzania,-3.7323613356324308,Dar-es-salaam,0.0696148308605013,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000cb,United Republic of Tanzania,-1.5434597746331236,Dodoma,0.551287799297537,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000cf,United Republic of Tanzania,-2.6141666666666667,Kaskazini Pemba,0.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000d0,United Republic of Tanzania,-3.6108333333333333,Kaskazini Unguja,0.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000d2,United Republic of Tanzania,-1.985640347678094,Kigoma,0.6120992169484353,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000d3,United Republic of Tanzania,-2.6081040286794765,Kilimanjaro,0.24098281786154346,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000d4,United Republic of Tanzania,-2.6141666666666667,Kusini Pemba,0.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000d5,United Republic of Tanzania,-3.70664770675334,Kusini Unguja,0.009755340417841832,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000d6,United Republic of Tanzania,-4.4504166666666665,Lindi,0.004583333333231773,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000d8,United Republic of Tanzania,2.543902479417053,Mara,0.47034058896773656,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000d9,United Republic of Tanzania,-3.0011130428853896,Mbeya,0.7191381399646715,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000da,United Republic of Tanzania,-3.6931649746192896,Mjini Magharibi,0.03775964638426756,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000db,United Republic of Tanzania,-3.9773484848484846,Morogoro,0.44763827757265157,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000dc,United Republic of Tanzania,,Mtwara,,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000df,United Republic of Tanzania,-3.744930956968529,Pwani,0.1873667445699865,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000e1,United Republic of Tanzania,-3.449251892435552,Ruvuma,0.2088516592118795,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000e4,United Republic of Tanzania,1.3865562451079059,Singida,0.3301064966099284,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000e5,United Republic of Tanzania,-1.131076589595376,Tabora,0.9274523733071399,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000e6,United Republic of Tanzania,-3.1901923076923073,Tanga,0.21043609426591223,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000c9,United Republic of Tanzania,-1.9682367271505383,Arusha,0.46769763380486223,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000d7,United Republic of Tanzania,-1.5839012498891947,Manyara,0.49795481084762205,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000cc,United Republic of Tanzania,-1.262523651205536,Geita,0.6968212059810358,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000cd,United Republic of Tanzania,-3.2598259226101653,Iringa,1.5280111716180513,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000ce,United Republic of Tanzania,-0.6720000915862744,Kagera,1.0201720455150856,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000d1,United Republic of Tanzania,-1.7730833333333333,Katavi,0.16614461990152565,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000dd,United Republic of Tanzania,-0.6296156255400036,Mwanza,0.5527858550217828,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000de,United Republic of Tanzania,-0.5216454305799649,Njombe,0.3270320026357091,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000e0,United Republic of Tanzania,-1.4885416666666667,Rukwa,0.8704878451429789,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000e2,United Republic of Tanzania,-1.7084300453594679,Shinyanga,0.3548884292384853,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000e3,United Republic of Tanzania,-1.5280305294986765,Simiyu,0.41808534288326465,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000ca,United Republic of Tanzania,-2.5938117433631493,Dar-es-salaam,0.1785922626571315,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000cb,United Republic of Tanzania,-3.089958726415094,Dodoma,0.3812900495054321,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000cf,United Republic of Tanzania,-2.2241666666666666,Kaskazini Pemba,0.0,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000d0,United Republic of Tanzania,-2.77,Kaskazini Unguja,0.0,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000d2,United Republic of Tanzania,-1.7133646365183566,Kigoma,0.3979557670357437,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000d3,United Republic of Tanzania,-1.952302500710429,Kilimanjaro,0.3233432626556392,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
