country,adm1_code,adm2_code,adm2_name,Median_Pop,StdDev_Pop,population_2024,Mean_GPP,StdDev_GPP,Mean_LST,StdDev_LST,Mean_NTL,StdDev_NTL,Sum_NTL,Median_NDVI,StdDev_NDVI
Morocco,2107,147351,Meknès,1.4192296658883778,29.93014726898129,696943.6564787475,0.0099457873258929,23965.70779613567,285.32699798005655,1.133538318121282,17.236935973886812,18.000291213540706,14652.61230269607,0.3456808461083306,0.0974856459784172
Morocco,2107,147350,El Hajeb,0.7217910734271713,7.852600634532357,231904.19563569015,0.0033013910331243,11392.39718590426,284.12900662539533,1.0082998025035674,6.154149569856864,11.799053113685751,5193.37821936274,0.3819369971752167,0.0639677760392399
Morocco,2109,147352,Berkane Taourirt,0.4056401045262452,11.808985179265411,386911.5389338004,0.0022630571179811,18699.576554506515,285.96821193081377,1.4194410890930724,14.289556319160914,21.00797015154408,18377.4341384804,0.2010757884347295,0.0958360990709895
Morocco,2109,147353,Jerada,0.388586284829801,5.52403374822252,49815.66975506465,0.0003645409664417,23182.50508580482,283.1537954378667,1.278383543071366,9.812520475432786,11.446870901637778,2914.164659313727,0.1494423300027847,0.0691185928304422
Morocco,2109,147354,Oujda Angad,0.3329891446032428,23.473067285964014,525827.9674119306,0.0093404873753226,28717.731310355903,285.345723064047,1.50479813408118,28.601754495521277,25.699499861974804,20823.984056372527,0.1353412248178125,0.0375453754028483
Morocco,147326,147339,Ben Slimane,0.2565361772899439,5.5524281224828975,298624.8829720984,0.0040140490277244,13765.559584047667,285.8294962898355,1.283414417889544,11.286774306147157,16.255138916029047,11170.67544730392,0.2791011995443272,0.0629769739618816
Morocco,147328,147340,Fès,0.9598042617928376,65.47082301217111,630953.4487022348,0.0176258408074129,26209.717741683195,286.47866592885003,1.259096937819267,30.50645523744461,31.02216900447081,13287.415569852934,0.2765828371047973,0.0764038699941275
Morocco,147328,147341,Sefrou,0.4322662355867084,12.752508213453924,204365.83445340823,0.0020132842117882,12991.878115743722,284.37145958033955,1.712041059330034,7.501375661687947,12.87863873403153,5607.234181372553,0.3383976693811088,0.0676376986530841
Morocco,147328,147342,Zouagha-Moulay Yacoub,1.4219439910017302,28.84550803363932,600894.9264034801,0.0093438053458892,24134.51168359881,286.1432472546447,1.1836197324509006,24.949130627257297,28.421082540658954,19531.842730392167,0.3075381398200988,0.0807128162089725
Morocco,147330,147343,Casablanca,9.91109754511232,74.28778907268253,3890273.422116584,0.0768949563038762,25783.59159205389,286.4294727665584,1.3300351212563135,37.535733949476985,31.67500983035212,110405.69425255498,0.2402348245444458,0.0789740135328703
Morocco,147330,147344,Mohammedia,47.214518210771146,22.66776547491428,234509.88627369457,0.1766611698507375,29805.916103085143,287.4273300137903,0.9716054658882132,47.13817775376631,27.088646355254483,8447.161453474922,0.2173467741480895,0.0783946282630394
Morocco,147331,147345,Assa-Zag,0.0279336801510961,0.3059408140710832,591.4110339726957,0.0003095522271443,18036.9548000422,291.9990748430312,2.3215163524975067,15.25256451072113,20.04928129226708,1372.7308059649015,0.0951431971043348,0.0288227983089452
Morocco,147333,147347,Al Haouz,1.2845149534610545,4.259163478256452,276853.063192715,0.0013631340378496,4917.72349133808,286.7106437082421,1.0855542857230696,1.9295309186458012,3.331494405200196,3296.9402965686218,0.2354600438300301,0.0779467661641187
Morocco,147331,147346,Guelmim,0.1321625451640342,11.766680522220156,116652.5579198345,0.0025862480820581,28496.019046714344,287.37710745297125,1.285651656094974,6.946144299957129,13.517339432789818,3956.1424363136216,0.1127978581935167,0.0375776225451424
Morocco,147333,147349,Marrakech,1.3269422603849024,43.82762486327128,1348811.140203339,0.0145242163079311,21765.1286894572,287.4698408107375,0.9775954606751583,12.566750792000027,17.629702211756165,39267.20299632336,0.1768582895153741,0.0714406811279529
Morocco,147333,147348,Chichaoua,0.7417457005048554,3.2931876168656053,150707.82755852438,0.0007108600921718,11887.282936467973,286.00999876309623,0.9703786734148552,2.7260687925681446,6.704479268842132,3057.6015196078447,0.1259360235056593,0.0463183717236167
Morocco,147335,147356,Agadir-Ida ou Tanane,1.3455204598599306,24.37571268209573,700450.541164043,0.0085887379544607,27151.91934465993,288.7442810936737,0.8273505114239118,24.311994203839884,30.63165380726821,26851.78719833436,0.1620786224221023,0.0698770495108418
Morocco,147334,147355,Skhirate-Témara,0.5503463340842768,27.32933286684257,728580.8842877594,0.018195583101449,22335.682366460325,286.57724473872275,1.1953205490376415,28.680542047837157,28.63229458232552,29181.38304289212,0.318228954449296,0.0877454091433498
Morocco,147335,147358,Inezgane-Aït Melloul,3.480372573866788,33.03969426569716,427428.8293878689,0.0316463629163182,23558.287451100012,287.8641279165828,1.1352066847721587,17.21574468978081,21.500917695364212,11109.421317401966,0.1885810204549888,0.0608557796651157
Morocco,147335,147357,Chtouka-Aït Baha,0.7283733191627606,5.887861721109578,313713.1572388761,0.0028997662093498,6350.735692607598,287.2671154351232,0.9216668908146152,2.608423461259079,4.748735196091077,6820.464750053789,0.1610921736185929,0.039188575448081
Morocco,147335,147360,Zagora,1.24398197291637,6.380130604217626,56867.94349664304,0.004867240916599,31119.729723280903,289.49330695999413,1.1982442013289138,5.139045756803887,9.387631536416432,1323.2740526960783,0.1450203135609626,0.0763769904678602
Morocco,147335,147359,Ouarzazate,0.7392033617013156,4.994680782249338,76053.44120147993,0.0015224549760294,27953.43750437259,285.6970940148404,2.669325538683233,2.891358645460918,8.387415776993707,8415.032879072165,0.1513573254124802,0.0737648199398531
Morocco,147337,147361,Fahs Anjra,0.7097438519753932,59.38588444814828,541080.5718443822,0.0218013367323844,13928.58865893366,287.3925442034441,0.805227722810949,25.263620665594846,34.25376046471428,14820.135247549022,0.424797019133201,0.0961795389843961
Morocco,147337,147362,Tanger-Assilah,0.7828058039368602,32.391433241510455,654648.5871064115,0.0244492704700314,18762.62875558009,287.44273125508386,1.0652000691004628,33.987236329417264,45.4172906033091,40491.32709662992,0.4315330996399834,0.1106075441203537
Jordan,1701,65716,Ajloon,2.4367026282549924,3.092411773916333,112710.64798015953,0.0153458997536495,10438.447152351991,285.6508183889967,2.308731015945725,15.295178976081967,12.532249418892384,9426.748698976447,0.3504985330485496,0.076782709204387
Jordan,1703,65718,Wadi Araba,0.0275953528907773,0.0448706073797899,530.078769759149,0.0024845945948254,0.0,291.4644049247649,1.1101263841863378,3.8291222777358978,4.0787985137562766,337.29311608825014,0.1047903908327484,0.0201300294767623
Jordan,1702,65722,Al-Salt,4.120759401295235,4.947099118082415,99443.73631917295,0.0293827083210392,21101.299075624254,286.3068950838204,1.066212234451449,23.501957703363303,15.02391819148548,9454.054185472944,0.2860942929983139,0.0430077999302966
Jordan,1707,65740,Irbid,11.121604644609404,15.053601026477876,482886.8114489114,0.0909143412975373,28205.9455169822,287.4816216813797,0.827428510030873,34.30964309034986,26.65555686725396,30148.35430016029,0.2874687925882445,0.0439541151846061
Jordan,1704,65725,Al-Qatraneh,0.0824100983556677,0.2033059913100533,2657.111331743724,0.0095478280988304,0.6298736581540337,283.7245254908154,0.8234067254277394,11.564753085546467,13.060274273822795,2661.344472807991,0.0971659520593861,0.0165991744364322
Jordan,1704,65724,Al-Qaser,1.2157317892204809,2.155447148508789,17258.336970573848,0.0244797935768981,31316.499415427472,284.4651918492348,0.6129901575121662,13.806119457869851,9.44537914318199,2262.2003502281414,0.1716322660446167,0.0291043954134559
Jordan,1709,65744,Ma'an,0.086809326301868,1.4033116810420871,7073.144728927055,0.0012560807342654,3697.02309244922,284.6593298929472,1.6387476888981207,24.912772873932337,37.77531344623295,14615.004933631011,0.1044471800327301,0.0224957773950285
Jordan,1710,65745,Madaba,1.243538079960674,7.794027588163225,117385.3506037957,0.0071201149790416,23014.34029665494,286.67840991468887,4.559599715212402,20.363467781163557,18.648311002507768,9090.252017511411,0.2198365777730941,0.0478162575352801
Jordan,1710,65746,Theeban,0.8759742714986016,1.5996108649246223,22348.380502642576,0.0254308785529067,30799.65785321174,285.82451499984046,1.1725819901390115,11.60971792033837,9.670196414200513,2333.8264718214323,0.1840058602392673,0.0260960758220395
Jordan,1711,65728,Al-ruwaished,0.205621517225321,0.4746496915929628,4600.622024072154,0.0014104064490553,12636.326886503106,285.82682622842583,0.891509618657189,11.116315354915605,10.029504693008253,6059.176549512882,0.112268947503146,0.0367349808017133
