country,adm1_name,adm1_code
Ecuador,Guayas,22005
Ecuador,Pichincha,22006
Ecuador,Santa Elena,22007
Ecuador,Santo Domingo de los Tsachilas,22008
Ecuador,Azuay,1135
Ecuador,Bolivar,1136
Ecuador,Carchi,1138
Ecuador,Chimborazo,1139
Ecuador,Cotopaxi,1140
Ecuador,El Oro,1141
Ecuador,Esmeraldas,1142
Ecuador,Imbabura,1145
Ecuador,Loja,1146
Ecuador,Los Rios,1147
Ecuador,Manabi,1148
Ecuador,Morona Santiago,1149
Ecuador,Pastaza,1152
Ecuador,Sucumbios,1154
Ecuador,Tungurahua,1155
Ecuador,Zamora Chinchipe,1156
Ecuador,Zona No Delimitada,1157
Egypt,Luxor,61524
Egypt,Qena,61531
Egypt,Alexandria,61510
Egypt,Aswan,61512
Egypt,Behera,61513
Egypt,Beni Suef,61514
Egypt,Cairo,61515
Egypt,Dakahlia,61516
Egypt,Damietta,61517
Egypt,Fayoum,61518
Egypt,Gharbia,61519
Egypt,Giza,61520
Egypt,Ismailia,61521
Egypt,Menoufia,61527
Egypt,New Valley,61528
Egypt,Port Said,61530
Egypt,Red Sea,61532
Egypt,Suez,61535
El Salvador,Ahuachapan,1184
El Salvador,Cabanas,1185
El Salvador,Chalatenango,1186
El Salvador,Cuscatlan,1187
El Salvador,La Libertad,1188
El Salvador,La Paz,1189
El Salvador,La Union,1190
El Salvador,Morazan,1191
El Salvador,San Miguel,1192
El Salvador,San Salvador,1193
El Salvador,San Vicente,1194
El Salvador,Santa Ana,1195
El Salvador,Sonsonate,1196
El Salvador,Usulutan,1197
Ethiopia,Addis Ababa,1227
Ethiopia,Afar,1228
Ethiopia,Amhara,1229
Ethiopia,Gambela,1232
Ethiopia,Oromia,47678
Ethiopia,SNNPR,1236
Ethiopia,Tigray,1237
Ethiopia,Dire Dawa,1231
Ethiopia,Somali,47679
Fiji,Central,40187
Fiji,Eastern,40188
Fiji,Northern,40189
Fiji,Western,40190
Gabon,Estuaire,1275
Gabon,Nyanga,1279
Gabon,Woleu-Ntem,1283
Ghana,Ashanti,1324
Ghana,Brong Ahafo,1325
Ghana,Central,1326
Ghana,Eastern,1327
Ghana,Greater Accra,1328
Ghana,Northern,1329
Ghana,Upper East,1330
Ghana,Upper West,1331
Guatemala,El Progreso,64822
Guatemala,Sacatepéquez,64823
Guatemala,Chimaltenango,64824
Guatemala,Escuintla,64825
Guatemala,Santa Rosa,64826
Guatemala,Sololá,64827
Guatemala,Totonicapán,64828
Guatemala,Quetzaltenango,64829
Guatemala,Suchitepéquez,64830
Guatemala,Retalhuleu,64831
Guatemala,San Marcos,64832
Guatemala,Huehuetenango,64833
Guatemala,Quiché,64834
Guatemala,Baja Verapaz,64835
Guatemala,Alta Verapaz,64836
Guatemala,Petén,64837
Guatemala,Izabal,64838
Guatemala,Zacapa,64839
Guatemala,Chiquimula,64840
Guatemala,Jalapa,64841
Guatemala,Jutiapa,64842
Guinea-Bissau,Biombo,1386
Guinea-Bissau,Bafata,1385
Guinea-Bissau,Cacheu,1388
Guinea-Bissau,Gabu,1389
Guinea-Bissau,Oio,1390
