model,mask,cv_strategy,fold_index,R2,RMSE,MAE,n_test_obs
DNN+XGB,yes,governorate,3,0.6942,0.0974,0.0726,1066
DNN+XGB,yes,governorate,4,0.6983,0.0932,0.0662,1066
DNN+XGB,yes,governorate,5,0.7407,0.0883,0.0639,1066
DNN+XGB,yes,country,1,0.5165,0.1156,0.0903,1066
DNN+XGB,yes,country,2,0.4139,0.0941,0.0675,1067
DNN+XGB,yes,country,3,0.766,0.1014,0.0771,1065
DNN+XGB,yes,country,4,0.6071,0.1171,0.0881,1066
DNN+XGB,yes,country,5,0.5029,0.1144,0.0791,1066
DNN+XGB,yes,timeseries,1,0.8589,0.0704,0.051,888
DNN+XGB,yes,timeseries,2,0.767,0.0839,0.0591,888
DNN+XGB,yes,timeseries,3,0.85,0.0662,0.0475,888
DNN+XGB,yes,timeseries,4,0.8367,0.0672,0.0486,888
DNN+XGB,yes,timeseries,5,0.8535,0.0608,0.0432,888
DNN+XGB,no,random,1,0.8671,0.0651,0.0471,1138
DNN+XGB,no,random,2,0.8863,0.0608,0.0444,1138
DNN+XGB,no,random,3,0.8918,0.0585,0.0421,1138
DNN+XGB,no,random,4,0.8822,0.0622,0.0452,1137
DNN+XGB,no,random,5,0.8948,0.0585,0.0427,1137
DNN+XGB,no,governorate,1,0.6646,0.1056,0.0796,1138
DNN+XGB,no,governorate,2,0.7413,0.097,0.0688,1138
DNN+XGB,no,governorate,3,0.7596,0.0865,0.0616,1138
DNN+XGB,no,governorate,4,0.7356,0.0846,0.0625,1137
DNN+XGB,no,governorate,5,0.7129,0.0978,0.0729,1137
DNN+XGB,no,country,1,0.3348,0.122,0.0917,1137
DNN+XGB,no,country,2,0.5469,0.1316,0.1024,1138
DNN+XGB,no,country,3,0.631,0.1144,0.0858,1137
DNN+XGB,no,country,4,0.4961,0.1073,0.0759,1138
DNN+XGB,no,country,5,0.5189,0.134,0.1035,1138
DNN+XGB,no,timeseries,1,0.812,0.0816,0.0559,948
DNN+XGB,no,timeseries,2,0.8214,0.0759,0.0538,948
DNN+XGB,no,timeseries,3,0.8516,0.0682,0.0499,948
DNN+XGB,no,timeseries,4,0.8465,0.065,0.0468,948
DNN+XGB,no,timeseries,5,0.7998,0.0741,0.0534,948
KNN,yes,random,1,0.9179,0.0504,0.032,1066
KNN,yes,random,2,0.9289,0.0459,0.0292,1066
KNN,yes,random,3,0.9302,0.0475,0.0302,1066
KNN,yes,random,4,0.9174,0.0509,0.0314,1066
KNN,yes,random,5,0.9269,0.0483,0.0309,1066
KNN,yes,governorate,1,0.5422,0.1222,0.0882,1066
KNN,yes,governorate,2,0.6421,0.1094,0.0796,1066
KNN,yes,governorate,3,0.4861,0.1262,0.0928,1066
KNN,yes,governorate,4,0.5008,0.1198,0.085,1066
KNN,yes,governorate,5,0.6423,0.1037,0.0743,1066
KNN,yes,country,1,0.4894,0.1481,0.118,1066
KNN,yes,country,2,-0.8804,0.1648,0.1223,1067
KNN,yes,country,3,0.368,0.1425,0.1045,1065
KNN,yes,country,4,0.3694,0.1372,0.1081,1066
KNN,yes,country,5,0.325,0.14,0.1027,1066
KNN,yes,timeseries,1,0.8046,0.0829,0.0604,888
KNN,yes,timeseries,2,0.7227,0.0915,0.0632,888
KNN,yes,timeseries,3,0.827,0.071,0.0475,888
KNN,yes,timeseries,4,0.8769,0.0583,0.0392,888
KNN,yes,timeseries,5,0.8854,0.0538,0.0337,888
KNN,no,random,1,0.8819,0.0613,0.0386,1138
KNN,no,random,2,0.8976,0.0577,0.0368,1138
KNN,no,random,3,0.8975,0.0569,0.0367,1138
KNN,no,random,4,0.8882,0.0606,0.0371,1137
KNN,no,random,5,0.8876,0.0604,0.038,1137
KNN,no,governorate,1,0.379,0.1437,0.099,1138
KNN,no,governorate,2,0.5426,0.129,0.0891,1138
KNN,no,governorate,3,0.5173,0.1225,0.0872,1138
KNN,no,governorate,4,0.4984,0.1165,0.0848,1137
KNN,no,governorate,5,0.5245,0.1259,0.0885,1137
KNN,no,country,1,-0.1168,0.1581,0.1192,1137
KNN,no,country,2,0.2856,0.1652,0.1261,1138
KNN,no,country,3,0.2212,0.1663,0.1309,1137
KNN,no,country,4,-0.1549,0.1624,0.1212,1138
