country,adm1_code,adm2_code,adm2_name,Median_Pop,StdDev_Pop,population_2024,Mean_GPP,StdDev_GPP,Mean_LST,StdDev_LST,Mean_NTL,StdDev_NTL,Sum_NTL,Median_NDVI,StdDev_NDVI,ndvi_lst_ratio
Morocco,2107,147350,El Hajeb,0.7217910734271713,7.852600634532357,231904.19563569018,0.003301391033124355,11392.397185904261,284.12900662539533,1.0082998025035674,6.154149569856864,11.799053113685751,5193.37821936274,0.3819369971752167,0.06396777603923999,0.0013442379632811461
Morocco,2107,147351,Meknès,1.4192296658883778,29.930147268981294,696943.6564787475,0.009945787325892992,23965.70779613567,285.32699798005655,1.133538318121282,17.236935973886812,18.000291213540706,14652.61230269607,0.3456808461083306,0.0974856459784172,0.001211525192342621
Morocco,2109,147352,Berkane Taourirt,0.4056401045262452,11.808985179265411,386911.5389338004,0.0022630571179811576,18699.576554506515,285.96821193081377,1.4194410890930724,14.289556319160914,21.00797015154408,18377.434138480396,0.20107578843472954,0.09583609907098958,0.0007031403493314745
Morocco,2109,147354,Oujda Angad,0.3329891446032428,23.473067285964014,525827.9674119306,0.009340487375322629,28717.731310355906,285.345723064047,1.50479813408118,28.601754495521273,25.699499861974804,20823.984056372527,0.13534122481781258,0.03754537540284834,0.00047430612719376455
Morocco,2109,147353,Jerada,0.388586284829801,5.52403374822252,49815.66975506465,0.000364540966441727,23182.50508580482,283.1537954378667,1.278383543071366,9.812520475432786,11.446870901637778,2914.164659313727,0.14944233000278473,0.06911859283044229,0.0005277779511014089
Morocco,147326,147339,Ben Slimane,0.25653617728994393,5.5524281224828975,298624.8829720984,0.004014049027724407,13765.559584047669,285.8294962898355,1.2834144178895441,11.286774306147155,16.255138916029047,11170.67544730392,0.2791011995443272,0.06297697396188164,0.00097646045340721
Morocco,147328,147340,Fès,0.9598042617928377,65.47082301217111,630953.4487022348,0.017625840807412987,26209.717741683195,286.47866592885003,1.2590969378192667,30.50645523744461,31.02216900447081,13287.415569852934,0.27658283710479736,0.07640386999412759,0.0009654570130310841
Morocco,147328,147341,Sefrou,0.4322662355867084,12.752508213453925,204365.83445340823,0.002013284211788254,12991.878115743722,284.37145958033955,1.7120410593300341,7.501375661687947,12.87863873403153,5607.234181372553,0.3383976693811088,0.06763769865308418,0.0011899846414984764
Morocco,147328,147342,Zouagha-Moulay Yacoub,1.4219439910017302,28.845508033639316,600894.9264034801,0.00934380534588927,24134.51168359881,286.1432472546447,1.1836197324509006,24.949130627257297,28.421082540658954,19531.842730392167,0.30753813982009887,0.08071281620897253,0.0010747698670883345
Morocco,147330,147344,Mohammedia,47.214518210771146,22.667765474914276,234509.88627369457,0.17666116985073949,29805.916103085146,287.4273300137903,0.9716054658882132,47.13817775376631,27.088646355254483,8447.161453474922,0.21734677414808953,0.07839462826303945,0.0007561799155900087
Morocco,147330,147343,Casablanca,9.91109754511232,74.28778907268253,3890273.422116584,0.07689495630387631,25783.59159205389,286.4294727665584,1.3300351212563137,37.535733949476985,31.675009830352117,110405.69425255498,0.2402348245444458,0.07897401353287038,0.0008387224339174011
Morocco,147331,147346,Guelmim,0.13216254516403422,11.766680522220156,116652.5579198345,0.0025862480820581474,28496.019046714344,287.37710745297125,1.285651656094974,6.946144299957129,13.517339432789818,3956.1424363136216,0.11279785819351673,0.037577622545142436,0.00039250815485355214
Morocco,147333,147347,Al Haouz,1.2845149534610543,4.259163478256452,276853.063192715,0.0013631340378496431,4917.72349133808,286.7106437082421,1.0855542857230696,1.9295309186458014,3.331494405200196,3296.9402965686218,0.2354600438300301,0.07794676616411879,0.0008212462599387667
